dataset,missing_type,code,country
fgm_quintile_prevalence.csv,no_data,GAB,Gabon
fgm_quintile_prevalence.csv,no_data,LSO,Lesotho
fgm_quintile_prevalence.csv,no_data,LBR,Liberia
fgm_quintile_prevalence.csv,no_data,LBY,Libyan Arab Jamahiriya
fgm_quintile_prevalence.csv,no_data,MDG,Madagascar
fgm_quintile_prevalence.csv,no_data,MWI,Malawi
fgm_quintile_prevalence.csv,no_data,MUS,Mauritius
fgm_quintile_prevalence.csv,no_data,MYT,Mayotte
fgm_quintile_prevalence.csv,no_data,MAR,Morocco
fgm_quintile_prevalence.csv,no_data,MOZ,Mozambique
fgm_quintile_prevalence.csv,no_data,NAM,Namibia
fgm_quintile_prevalence.csv,no_data,REU,Reunion
fgm_quintile_prevalence.csv,no_data,RWA,Rwanda
fgm_quintile_prevalence.csv,no_data,SHN,Saint Helena
fgm_quintile_prevalence.csv,no_data,STP,Sao Tome and Principe
fgm_quintile_prevalence.csv,no_data,SYC,Seychelles
fgm_quintile_prevalence.csv,no_data,ZAF,South Africa
fgm_quintile_prevalence.csv,no_data,SSD,South Sudan
fgm_quintile_prevalence.csv,no_data,TUN,Tunisia
fgm_quintile_prevalence.csv,no_data,ESH,Western Sahara
fgm_quintile_prevalence.csv,no_data,ZMB,Zambia
fgm_quintile_prevalence.csv,no_data,ZWE,Zimbabwe
gender_parity_secondary.csv,no_data,HRV,Croatia
gender_parity_secondary.csv,no_data,COD,DR Congo
gender_parity_secondary.csv,no_data,DJI,Djibouti
gender_parity_secondary.csv,no_data,GNQ,Equatorial Guinea
gender_parity_secondary.csv,no_data,FRO,Faroe Islands
gender_parity_secondary.csv,no_data,GIB,Gibraltar
gender_parity_secondary.csv,no_data,GGY,Guernsey
gender_parity_secondary.csv,no_data,VAT,Holy See
gender_parity_secondary.csv,no_data,IRL,Ireland
gender_parity_secondary.csv,no_data,IMN,Isle of Man
gender_parity_secondary.csv,no_data,JEY,Jersey
gender_parity_secondary.csv,no_data,XKX,Kosovo
gender_parity_secondary.csv,no_data,LBY,Libyan Arab Jamahiriya
gender_parity_secondary.csv,no_data,MYT,Mayotte
gender_parity_secondary.csv,no_data,MCO,Monaco
gender_parity_secondary.csv,no_data,NGA,Nigeria
gender_parity_secondary.csv,no_data,REU,Reunion
gender_parity_secondary.csv,no_data,SHN,Saint Helena
gender_parity_secondary.csv,no_data,SOM,Somalia
gender_parity_secondary.csv,no_data,SJM,Svalbard & Jan Mayen Islands
gender_parity_secondary.csv,no_data,TUN,Tunisia
gender_parity_secondary.csv,no_data,ESH,Western Sahara
gender_parity_secondary.csv,no_data,ZMB,Zambia
gender_parity_secondary.csv,no_data,ALA,Åland Islands
income.csv,no_data,GIB,Gibraltar
income.csv,no_data,GGY,Guernsey
income.csv,no_data,VAT,Holy See
income.csv,no_data,JEY,Jersey
income.csv,no_data,XKX,Kosovo
income.csv,no_data,MYT,Mayotte
income.csv,no_data,REU,Reunion
income.csv,no_data,SHN,Saint Helena
income.csv,no_data,SJM,Svalbard & Jan Mayen Islands
income.csv,no_data,ESH,Western Sahara
income.csv,no_data,ALA,Åland Islands
life_expectancy.csv,no_data,XKX,Kosovo
life_expectancy.csv,no_data,SJM,Svalbard & Jan Mayen Islands
life_expectancy.csv,no_data,ALA,Åland Islands
migration.csv,no_data,CPV,Cape Verde
migration.csv,no_data,COM,Comoros
migration.csv,no_data,MUS,Mauritius
migration.csv,no_data,STP,Sao Tome and Principe
migration.csv,no_data,SYC,Seychelles
multidimensional_poverty_index.csv,no_data,CPV,Cape Verde
multidimensional_poverty_index.csv,no_data,DJI,Djibouti
multidimensional_poverty_index.csv,no_data,GNQ,Equatorial Guinea
multidimensional_poverty_index.csv,no_data,ERI,Eritrea
multidimensional_poverty_index.csv,no_data,MUS,Mauritius
multidimensional_poverty_index.csv,no_data,MYT,Mayotte
multidimensional_poverty_index.csv,no_data,REU,Reunion
multidimensional_poverty_index.csv,no_data,SHN,Saint Helena
multidimensional_poverty_index.csv,no_data,SOM,Somalia
multidimensional_poverty_index.csv,no_data,SSD,South Sudan
multidimensional_poverty_index.csv,no_data,ESH,Western Sahara
out_of_school_children.csv,no_data,COD,DR Congo
out_of_school_children.csv,no_data,DJI,Djibouti
out_of_school_children.csv,no_data,FRO,Faroe Islands
out_of_school_children.csv,no_data,GIB,Gibraltar
out_of_school_children.csv,no_data,GGY,Guernsey
out_of_school_children.csv,no_data,VAT,Holy See
out_of_school_children.csv,no_data,IMN,Isle of Man
out_of_school_children.csv,no_data,JEY,Jersey
out_of_school_children.csv,no_data,XKX,Kosovo
out_of_school_children.csv,no_data,LBY,Libyan Arab Jamahiriya
out_of_school_children.csv,no_data,MYT,Mayotte
out_of_school_children.csv,no_data,MCO,Monaco
out_of_school_children.csv,no_data,REU,Reunion
out_of_school_children.csv,no_data,SHN,Saint Helena
out_of_school_children.csv,no_data,SOM,Somalia
out_of_school_children.csv,no_data,SJM,Svalbard & Jan Mayen Islands
out_of_school_children.csv,no_data,ESH,Western Sahara
out_of_school_children.csv,no_data,ALA,Åland Islands
population.csv,no_data,SJM,Svalbard & Jan Mayen Islands
population.csv,no_data,ALA,Åland Islands
youth_literacy.csv,no_data,AND,Andorra
youth_literacy.csv,no_data,AUT,Austria
youth_literacy.csv,no_data,BEL,Belgium
youth_literacy.csv,no_data,CZE,Czechia
youth_literacy.csv,no_data,DNK,Denmark
youth_literacy.csv,no_data,DJI,Djibouti
youth_literacy.csv,no_data,FRO,Faroe Islands
youth_literacy.csv,no_data,FIN,Finland
youth_literacy.csv,no_data,FRA,France
youth_literacy.csv,no_data,DEU,Germany
youth_literacy.csv,no_data,GIB,Gibraltar
youth_literacy.csv,no_data,GGY,Guernsey
youth_literacy.csv,no_data,VAT,Holy See
youth_literacy.csv,no_data,HUN,Hungary
youth_literacy.csv,no_data,ISL,Iceland
youth_literacy.csv,no_data,IRL,Ireland
youth_literacy.csv,no_data,IMN,Isle of Man
youth_literacy.csv,no_data,JEY,Jersey
youth_literacy.csv,no_data,XKX,Kosovo
youth_literacy.csv,no_data,LBY,Libyan Arab Jamahiriya
youth_literacy.csv,no_data,LIE,Liechtenstein
youth_literacy.csv,no_data,LUX,Luxembourg
youth_literacy.csv,no_data,MYT,Mayotte
youth_literacy.csv,no_data,MCO,Monaco
