iso_code,country,region,comp_prim_avg
TZA,U. R. Tanzania,Unguja South,0.9133
TZA,U. R. Tanzania,Zanzibar North,0.589
TZA,U. R. Tanzania,Zanzibar South,0.774
UGA,Uganda,Central,0.4747
UGA,Uganda,Central 1,0.5108
UGA,Uganda,Central 2,0.4757
UGA,Uganda,East Central,0.38
UGA,Uganda,Eastern,0.2887
UGA,Uganda,Kampala,0.7525
UGA,Uganda,Karamoja,0.1501
UGA,Uganda,North,0.1777
UGA,Uganda,Northern,0.1588
UGA,Uganda,Southwest,0.3268
UGA,Uganda,West Nile,0.2041
UGA,Uganda,Western,0.2802
ZAF,South Africa,Eastern Cape,0.9177
ZAF,South Africa,Free State,0.956
ZAF,South Africa,Gauteng,0.9979
ZAF,South Africa,Kwazulu Natal,0.9744
ZAF,South Africa,Limpopo,0.9816
ZAF,South Africa,Mpumalanga,0.9367
ZAF,South Africa,North West,0.9357
ZAF,South Africa,Northern Cape,0.9496
ZAF,South Africa,Western Cape,0.9949
ZMB,Zambia,Central,0.6918
ZMB,Zambia,Copperbelt,0.8446
ZMB,Zambia,Eastern,0.4853
ZMB,Zambia,Luapula,0.5779
ZMB,Zambia,Lusaka,0.8301
ZMB,Zambia,Muchinga,0.6997
ZMB,Zambia,North Western,0.6231
ZMB,Zambia,Northern,0.5895
ZMB,Zambia,Southern,0.7556
ZMB,Zambia,Western,0.6102
ZWE,Zimbabwe,Bulawayo,0.979
ZWE,Zimbabwe,Harare,0.9711
ZWE,Zimbabwe,Manicaland,0.872
ZWE,Zimbabwe,Mashonaland Central,0.7838
ZWE,Zimbabwe,Mashonaland East,0.9243
ZWE,Zimbabwe,Mashonaland West,0.8589
ZWE,Zimbabwe,Masvingo,0.874
ZWE,Zimbabwe,Matabeleland North,0.8671
ZWE,Zimbabwe,Matabeleland South,0.8932
ZWE,Zimbabwe,Midlands,0.8627
