iso_code,country,year,region,comp_prim_v2_m,eduout_prim_m
MLI,Mali,2015,Mopti,0.234899997711182,
MLI,Mali,2015,Segou,0.36829999089241,
MLI,Mali,2015,Sikasso,0.463699996471405,
MLI,Mali,2015,Tombouctou,0.259299993515015,
MOZ,Mozambique,2003,Cabo Delgado,0.0313999988138676,0.335999995470047
MOZ,Mozambique,2003,Gaza,0.102700002491474,0.163900002837181
MOZ,Mozambique,2003,Inhambane,0.112999998033047,0.157100006937981
MOZ,Mozambique,2003,Manica,0.1199000030756,0.241500005125999
MOZ,Mozambique,2003,Maputo Cidade,0.218199998140335,0.0434999987483025
MOZ,Mozambique,2003,Maputo Provincia,0.199100002646446,0.0811000019311905
MOZ,Mozambique,2003,Nampula,0.0855000019073486,0.443399995565414
MOZ,Mozambique,2003,Niassa,0.0560999996960163,0.486900001764297
MOZ,Mozambique,2003,Sofala,0.096000000834465,0.295800000429153
MOZ,Mozambique,2003,Tete,0.0838000029325485,0.373100012540817
MOZ,Mozambique,2003,Zambezia,0.0698999986052513,0.412000000476837
MOZ,Mozambique,2011,Cabo Delgado,0.235499992966652,0.395099997520447
MOZ,Mozambique,2011,Gaza,0.453700006008148,0.172099992632866
MOZ,Mozambique,2011,Inhambane,0.594799995422363,0.1216000020504
MOZ,Mozambique,2011,Manica,0.524800002574921,0.118600003421307
MOZ,Mozambique,2011,Maputo Cidade,0.796400010585785,0.0419999994337559
MOZ,Mozambique,2011,Maputo Provincia,0.727400004863739,0.0667999982833862
MOZ,Mozambique,2011,Nampula,0.385399997234344,0.283600002527237
MOZ,Mozambique,2011,Niassa,0.391799986362457,0.330700010061264
MOZ,Mozambique,2011,Sofala,0.414299994707108,0.218500003218651
MOZ,Mozambique,2011,Tete,0.259200006723404,0.331200003623962
MOZ,Mozambique,2011,Zambezia,0.219400003552437,0.216299995779991
MOZ,Mozambique,2008,Cabo Delgado,,
MOZ,Mozambique,2008,Gaza,,
MOZ,Mozambique,2008,Inhambane,,
MOZ,Mozambique,2008,Manica,,
MOZ,Mozambique,2008,Maputo Cidade,,
MOZ,Mozambique,2008,Maputo Provincia,,
MOZ,Mozambique,2008,Nampula,,
MOZ,Mozambique,2008,Niassa,,
MOZ,Mozambique,2008,Sofala,,
MOZ,Mozambique,2008,Tete,,
MOZ,Mozambique,2008,Zambezia,,
MRT,Mauritania,2007,Adrar,,
MRT,Mauritania,2007,Assaba,,
MRT,Mauritania,2007,Brakna,,
MRT,Mauritania,2007,Gorgol,,
MRT,Mauritania,2007,Guidimagha,,
MRT,Mauritania,2007,Hodh Ech Charghi,,
MRT,Mauritania,2007,Hodh El Gharbi,,
MRT,Mauritania,2007,Inchiri,,
MRT,Mauritania,2007,Nouadhibou,,
MRT,Mauritania,2007,Nouakchott,,
MRT,Mauritania,2007,Tagant,,
MRT,Mauritania,2007,Tiris Zemmour,,
MRT,Mauritania,2007,Trarza,,
MRT,Mauritania,2011,Adrar,0.621200025081635,0.180999994277954
MRT,Mauritania,2011,Assaba,0.301800012588501,0.513400018215179
MRT,Mauritania,2011,Brakna,0.361099988222122,0.335999995470047
MRT,Mauritania,2011,Dakhlett Nouadibou,0.655799984931946,0.19930000603199
MRT,Mauritania,2011,Gorgol,0.365900009870529,0.475300014019012
MRT,Mauritania,2011,Guidimagha,0.302199989557266,0.362100005149841
MRT,Mauritania,2011,Hodh Ech Charghi,0.375999987125397,0.468100011348724
MRT,Mauritania,2011,Hodh El Gharbi,0.329600006341934,0.565400004386902
MRT,Mauritania,2011,Nouakchott,0.5935999751091,0.266200006008148
MRT,Mauritania,2011,Tagant,0.481700003147125,0.236800000071526
MRT,Mauritania,2011,Tiris Zemmour,0.729900002479553,0.148699998855591
MRT,Mauritania,2011,Trarza,0.495599985122681,0.381900012493134
MRT,Mauritania,2015,Adrar,,0.161799997091293
MRT,Mauritania,2015,Assaba,,0.485700011253357
MRT,Mauritania,2015,Brakna,,0.402799993753433
MRT,Mauritania,2015,Dakhlett Nouadibou,,0.159600004553795
MRT,Mauritania,2015,Gorgol,,0.455900013446808
MRT,Mauritania,2015,Guidimagha,,0.554000020027161
MRT,Mauritania,2015,Hodh Ech Charghi,,0.488099992275238
MRT,Mauritania,2015,Hodh El Gharbi,,0.552699983119965
MRT,Mauritania,2015,Inchiri,,0.174500003457069
MRT,Mauritania,2015,Nouakchott,,0.210600003600121
MRT,Mauritania,2015,Tagant,,0.291700005531311
MRT,Mauritania,2015,Tiris Zemmour,,0.129399999976158
MRT,Mauritania,2015,Trarza,,0.313699990510941
MWI,Malawi,2000,Central,0.366699993610382,0.182600006461143
MWI,Malawi,2000,Northern,0.607400000095367,0.0610000006854534
MWI,Malawi,2000,Southern,0.402300000190735,0.17960000038147
MWI,Malawi,2004,Central,0.455799996852875,0.14470000565052
MWI,Malawi,2004,Northern,0.681500017642975,0.0333999991416931
MWI,Malawi,2004,Southern,0.485000014305115,0.149599999189377
MWI,Malawi,2010,Central,0.472499996423721,0.101400002837181
MWI,Malawi,2010,Northern,0.728299975395203,0.0320999994874001
MWI,Malawi,2010,Southern,0.561699986457825,0.0987000018358231
MWI,Malawi,2006,Central,,
MWI,Malawi,2006,Northern,,
MWI,Malawi,2006,Southern,,
MWI,Malawi,2014,Central,0.432599991559982,0.0728000029921532
MWI,Malawi,2014,Northern,0.6632000207901,0.0357000008225441
MWI,Malawi,2014,Southern,0.474299997091293,0.0681999996304512
NAM,Namibia,2000,Caprivi,0.747500002384186,0.166899994015694
NAM,Namibia,2000,Erongo,0.967199981212616,0.0410999990999699
NAM,Namibia,2000,Hardap,0.843500018119812,0.0623000003397465
NAM,Namibia,2000,Karas,0.862800002098083,0.0254999995231628
NAM,Namibia,2000,Kavango,0.608399987220764,0.131899997591972
NAM,Namibia,2000,Khomas,0.861800014972687,0.0610000006854534
NAM,Namibia,2000,Kunene,0.637899994850159,0.284200012683868
NAM,Namibia,2000,Ohangwena,0.451299995183945,0.149100005626678
NAM,Namibia,2000,Omaheke,0.568899989128113,0.244100004434586
NAM,Namibia,2000,Omusati,0.694500029087067,0.0573000013828278
NAM,Namibia,2000,Oshana,0.749800026416779,0.0098999999463558
NAM,Namibia,2000,Oshikoto,0.637399971485138,0.0835999995470047
NAM,Namibia,2000,Otjozondjupa,0.706900000572205,0.185599997639656
NAM,Namibia,2007,Caprivi,0.783900022506714,0.0364000014960766
NAM,Namibia,2007,Erongo,0.94980001449585,0.0329999998211861
NAM,Namibia,2007,Hardap,0.856599986553192,0.058899998664856
NAM,Namibia,2007,Karas,0.919399976730347,0.0147000001743436
NAM,Namibia,2007,Kavango,0.6942999958992,0.101400002837181
NAM,Namibia,2007,Khomas,0.914399981498718,0.0196000002324581
NAM,Namibia,2007,Kunene,0.585399985313416,0.440499991178513
NAM,Namibia,2007,Ohangwena,0.707599997520447,0.0680999979376793
NAM,Namibia,2007,Omaheke,0.72790002822876,0.138400003314018
NAM,Namibia,2007,Omusati,0.832300007343292,0.0215000007301569
NAM,Namibia,2007,Oshana,0.85699999332428,0.0201999992132187
NAM,Namibia,2007,Oshikoto,0.677600026130676,0.0417999997735023
NAM,Namibia,2007,Otjozondjupa,0.716899991035461,0.142599999904633
NAM,Namibia,2013,Caprivi,0.798600018024445,0.0425999984145164
NAM,Namibia,2013,Erongo,0.959100008010864,0.0196000002324581
NAM,Namibia,2013,Hardap,0.859000027179718,0.0520000010728836
NAM,Namibia,2013,Karas,0.911800026893616,0.0333000011742115
NAM,Namibia,2013,Kavango,0.640699982643127,0.100000001490116
NAM,Namibia,2013,Khomas,0.953499972820282,0.0252000000327826
NAM,Namibia,2013,Kunene,0.540199995040894,0.261000007390976
NAM,Namibia,2013,Ohangwena,0.768899977207184,0.0778999999165535
NAM,Namibia,2013,Omaheke,0.64740002155304,0.143099993467331
NAM,Namibia,2013,Omusati,0.845300018787384,0.0509999990463257
NAM,Namibia,2013,Oshana,0.895799994468689,0.0270000007003546
NAM,Namibia,2013,Oshikoto,0.815199971199036,0.0599999986588955
NAM,Namibia,2013,Otjozondjupa,0.804300010204315,0.0970999971032143
NER,Niger,2006,Agadez,0.379299998283386,0.441000014543533
NER,Niger,2006,Diffa,0.125900000333786,0.696799993515015
NER,Niger,2006,Dosso,0.144500002264977,0.528599977493286
NER,Niger,2006,Maradi,0.109399996697903,0.647599995136261
NER,Niger,2006,Niamey,0.476700007915497,0.216199994087219
NER,Niger,2006,Tahoua,0.0883999988436699,0.655499994754791
NER,Niger,2006,Tillaberi,0.091499999165535,0.670700013637543
NER,Niger,2006,Zinder,0.163900002837181,0.712599992752075
NER,Niger,2012,Agadez,0.451299995183945,0.406899988651276
NER,Niger,2012,Diffa,0.238100007176399,0.65090000629425
NER,Niger,2012,Dosso,0.286100000143051,0.444099992513657
NER,Niger,2012,Maradi,0.280000001192093,0.48879998922348
NER,Niger,2012,Niamey,0.569599986076355,0.122599996626377
NER,Niger,2012,Tahoua,0.145600005984306,0.582300007343292
NER,Niger,2012,Tillaberi,0.243499994277954,0.450100004673004
NER,Niger,2012,Zinder,0.290800005197525,0.567499995231628
NER,Niger,2000,Agadez,,
NER,Niger,2000,Dosso,,
NER,Niger,2000,Maradi,,
NER,Niger,2000,Niamey,,
NER,Niger,2000,Tahoua,,
