Unnamed: 0;iso_code;country;year;region;compl_primary;out_primary
20903;GAB;Gabon;2012;Nyanga;0.530399978160858;0.0710999965667725
20904;GAB;Gabon;2012;Ogooue Ivindo;0.349900007247925;0.125300005078316
20905;GAB;Gabon;2012;Ogooue Lolo;0.455199986696243;0.0843999981880188
20906;GAB;Gabon;2012;Ogooue Maritime;0.554899990558624;0.0520000010728836
20907;GAB;Gabon;2012;Woleu Ntem;0.608699977397919;0.0229000002145767
21415;GHA;Ghana;2003;Ashanti;0.695200026035309;0.310499995946884
21416;GHA;Ghana;2003;Brong Ahafo;0.482800006866455;0.374099999666214
21417;GHA;Ghana;2003;Central;0.587499976158142;0.381099998950958
21418;GHA;Ghana;2003;Eastern;0.678200006484985;0.397000014781952
21419;GHA;Ghana;2003;Greater Accra;0.731700003147125;0.276300013065338
21420;GHA;Ghana;2003;Northern;0.287999987602234;0.55460000038147
21421;GHA;Ghana;2003;Upper East;0.231199994683266;0.5557000041008
21422;GHA;Ghana;2003;Upper West;0.401600003242493;0.582499980926514
21423;GHA;Ghana;2003;Volta;0.537400007247925;0.355599999427795
21424;GHA;Ghana;2003;Western;0.621200025081635;0.294699996709824
21680;GHA;Ghana;2014;Ashanti;0.785799980163574;0.260899990797043
21681;GHA;Ghana;2014;Brong Ahafo;0.611899971961975;0.316599994897842
21682;GHA;Ghana;2014;Central;0.691200017929077;0.54720002412796
